name	taxonomy_id	taxonomy_lvl	ERR2270938.bracken.report_num	ERR2270938.bracken.report_frac	ERR2270939.bracken.report_num	ERR2270939.bracken.report_frac	ERR2270940.bracken.report_num	ERR2270940.bracken.report_frac	ERR2270941.bracken.report_num	ERR2270941.bracken.report_frac	ERR2270960.bracken.report_num	ERR2270960.bracken.report_frac	ERR2270961.bracken.report_num	ERR2270961.bracken.report_frac	ERR2270962.bracken.report_num	ERR2270962.bracken.report_frac	ERR2271042.bracken.report_num	ERR2271042.bracken.report_frac	ERR2271043.bracken.report_num	ERR2271043.bracken.report_frac	ERR2271236.bracken.report_num	ERR2271236.bracken.report_frac	ERR2271237.bracken.report_num	ERR2271237.bracken.report_frac
Roseburia intestinalis	166486	S	1238	0.08307	28	0.00137	6	0.00033	72	0.00400	1	0.00006	3	0.00023	23	0.00115	36	0.00196	39	0.00386	118	0.00816	157	0.01035
Roseburia sp. NSJ-69	2763062	S	121	0.00812	11	0.00054	5	0.00027	11	0.00061	0	0.00000	0	0.00000	11	0.00055	11	0.00060	5	0.00049	39	0.00270	31	0.00204
Roseburia hominis	301301	S	89	0.00597	16	0.00078	31	0.00170	24	0.00133	2	0.00011	0	0.00000	24	0.00120	30	0.00163	26	0.00257	50	0.00346	82	0.00541
Blautia obeum	40520	S	320	0.02147	136	0.00666	11	0.00060	57	0.00317	2	0.00011	3	0.00023	20	0.00100	40	0.00218	33	0.00327	359	0.02484	38	0.00251
Blautia massiliensis	1737424	S	189	0.01268	44	0.00216	30	0.00164	74	0.00412	5	0.00028	0	0.00000	92	0.00459	52	0.00283	22	0.00218	978	0.06766	59	0.00389
Blautia sp. SC05B48	2479767	S	140	0.00939	44	0.00216	6	0.00033	57	0.00317	3	0.00017	0	0.00000	15	0.00075	36	0.00196	14	0.00139	313	0.02165	37	0.00244
Blautia sp. NBRC 113351	2877527	S	30	0.00201	9	0.00044	29	0.00159	4	0.00022	0	0.00000	1	0.00008	201	0.01002	3	0.00016	1	0.00010	24	0.00166	8	0.00053
Blautia argi	1912897	S	47	0.00315	20	0.00098	53	0.00290	9	0.00050	7	0.00039	0	0.00000	68	0.00339	2	0.00011	1	0.00010	42	0.00291	10	0.00066
Blautia producta	33035	S	46	0.00309	23	0.00113	105	0.00575	7	0.00039	7	0.00039	2	0.00015	24	0.00120	7	0.00038	7	0.00069	42	0.00291	7	0.00046
Blautia pseudococcoides	1796616	S	30	0.00201	16	0.00078	422	0.02311	6	0.00033	3	0.00017	0	0.00000	31	0.00155	3	0.00016	5	0.00049	36	0.00249	8	0.00053
