ERR2270938_all	ERR2270939_all	ERR2270940_all	ERR2270941_all	ERR2270960_all	ERR2270961_all	ERR2270962_all	ERR2271042_all	ERR2271043_all	ERR2271236_all	ERR2271237_all	lvl_type	name
8436	2140	5136	5240	5136	3525	3165	3292	6667	8777	6631	U	unclassified
16564	22860	19864	19760	19864	21475	21835	21708	18333	16223	18369	R	root
16481	22831	19804	17255	19779	21174	21780	21495	17740	16159	18321	R1	cellular organisms
15598	22258	19258	16907	17834	20131	21109	21351	17616	15780	17712	D	Bacteria
14488	19224	17445	12259	14192	9635	19286	2404	3374	14711	5848	D1	Terrabacteria group
11871	8776	17259	4175	13303	9391	7295	1896	2745	9653	5417	P	Firmicutes
10435	7991	8554	3091	2092	3105	5693	1716	2174	8654	5025	C	Clostridia
10415	7984	8549	3082	2077	3090	5686	1714	2160	8634	5022	O	Eubacteriales
4985	5432	7931	1190	677	31	4335	670	506	6039	1367	F	Lachnospiraceae
770	3725	4528	111	482	3	2422	109	77	461	75	G	Mediterraneibacter
653	3689	4490	92	478	3	2341	12	11	112	32	S	[Ruminococcus] gnavus
77	479	489	11	65	1	271	2	3	10	3	S1	[Ruminococcus] gnavus ATCC 29149
117	35	35	18	4	0	75	97	66	347	42	S	[Ruminococcus] torques
117	35	35	18	4	0	75	97	66	347	42	S1	[Ruminococcus] torques L2-14
949	335	684	251	31	6	499	173	98	1982	211	G	Blautia
189	44	30	74	5	0	92	52	22	978	59	S	Blautia massiliensis
320	136	11	57	2	3	20	40	33	359	38	S	Blautia obeum
320	136	11	57	2	3	20	40	33	359	38	S1	Blautia obeum A2-162
170	53	35	61	3	1	216	39	15	337	45	G1	unclassified Blautia
140	44	6	57	3	0	15	36	14	313	37	S	Blautia sp. SC05B48
30	9	29	4	0	1	201	3	1	24	8	S	Blautia sp. NBRC 113351
30	16	422	6	3	0	31	3	5	36	8	S	Blautia pseudococcoides
46	23	105	7	7	2	24	7	7	42	7	S	Blautia producta
1	0	0	0	0	0	0	0	0	0	0	S1	Blautia producta ATCC 27340 = DSM 2950
47	20	53	9	7	0	68	2	1	42	10	S	Blautia argi
25	6	12	9	2	0	27	4	6	41	11	S	Blautia hansenii
25	6	12	9	2	0	27	4	6	41	11	S1	Blautia hansenii DSM 20583
16	3	3	1	0	0	3	4	2	14	5	S	Blautia liquoris
265	419	1350	29	9	4	174	27	26	960	29	G	Anaerostipes
255	416	20	27	3	2	19	24	23	948	23	S	Anaerostipes hadrus
9	1	1320	1	4	1	141	1	0	6	5	S	Anaerostipes caccae
1	0	230	1	3	0	59	0	0	0	2	S1	Anaerostipes caccae L1-92
0	2	9	1	2	1	13	2	3	5	1	S	Anaerostipes rhamnosivorans
609	401	14	209	10	2	45	30	18	1216	45	G	Anaerobutyricum
609	401	14	209	10	2	45	30	18	1216	45	S	Anaerobutyricum hallii
1549	61	45	116	3	3	65	85	72	221	290	G	Roseburia
1238	28	6	72	1	3	23	36	39	118	157	S	Roseburia intestinalis
252	12	2	18	0	2	0	6	10	41	38	S1	Roseburia intestinalis L1-82
190	9	0	13	0	0	3	12	10	24	38	S1	Roseburia intestinalis XB6B4
181	2	2	10	0	0	7	5	11	22	29	S1	Roseburia intestinalis M50/1
89	16	31	24	2	0	24	30	26	50	82	S	Roseburia hominis
121	11	5	11	0	0	11	11	5	39	31	G1	unclassified Roseburia
121	11	5	11	0	0	11	11	5	39	31	S	Roseburia sp. NSJ-69
200	98	40	218	7	0	92	88	41	450	119	G	Coprococcus
84	34	17	159	0	0	56	59	13	108	50	S	Coprococcus comes
54	59	13	49	5	0	26	18	13	93	40	S	Coprococcus catus
22	2	9	3	0	0	8	8	10	214	16	G1	unclassified Coprococcus
22	2	9	3	0	0	8	8	10	214	16	S	Coprococcus sp. ART55/1
30	2	0	4	2	0	1	3	3	26	8	S	Coprococcus eutactus
30	2	0	4	2	0	1	3	3	26	8	S1	Coprococcus eutactus ATCC 27759
29	16	204	20	40	0	424	17	10	57	37	G	Enterocloster
21	11	85	15	23	0	202	11	7	40	23	S	Enterocloster bolteae
7	5	115	5	15	0	218	5	3	12	11	S	Enterocloster clostridioformis
97	92	143	55	14	1	212	22	28	63	48	G	Lachnoclostridium
44	66	75	14	11	0	134	11	10	24	20	S	[Clostridium] scindens
8	8	34	5	1	1	44	1	2	10	6	G1	unclassified Lachnoclostridium
8	8	34	5	1	1	44	1	2	10	6	S	Lachnoclostridium sp. YL32
19	6	26	29	2	0	10	1	7	9	9	S	Lachnoclostridium phocaeense
19	10	7	6	0	0	21	8	4	15	10	S	[Clostridium] hylemonae
5	0	1	0	0	0	4	0	0	1	1	S1	[Clostridium] hylemonae DSM 15053
5	2	1	1	0	0	2	0	3	4	3	S	Lachnoclostridium phytofermentans
5	2	1	1	0	0	2	0	3	4	3	S1	Lachnoclostridium phytofermentans ISDg
49	34	55	62	8	0	69	40	38	183	126	G	Dorea
49	34	55	62	8	0	69	40	38	183	126	S	Dorea longicatena
18	4	413	16	2	1	19	1	2	34	11	G	Sellimonas
18	4	413	16	2	1	19	1	2	34	11	S	Sellimonas intestinalis
74	5	0	9	0	3	4	18	8	53	192	G	Lachnospira
74	5	0	9	0	3	4	18	8	53	192	S	Lachnospira eligens
0	0	0	0	0	0	0	5	0	0	0	S1	[Eubacterium] eligens ATCC 27750
40	69	20	16	2	1	48	6	17	42	25	G	Faecalicatena
40	69	20	16	2	1	48	6	17	42	25	G1	unclassified Faecalicatena
40	69	20	16	2	1	48	6	17	42	25	S	Faecalicatena sp. Marseille-Q4148
16	4	94	1	5	0	12	3	3	23	11	G	Lacrimispora
8	1	46	0	1	0	6	1	1	10	4	S	Lacrimispora sphenoides
8	1	46	0	1	0	6	1	1	10	4	S1	[Clostridium] sphenoides JCM 1415
7	3	34	1	4	0	5	1	2	12	7	S	Lacrimispora saccharolytica
39	4	7	8	6	1	4	5	5	21	25	G	Butyrivibrio
14	2	3	4	5	1	1	2	3	9	7	S	Butyrivibrio fibrisolvens
13	0	2	1	1	0	3	2	1	5	9	S	Butyrivibrio hungatei
9	0	2	3	0	0	0	1	1	6	7	S	Butyrivibrio proteoclasticus
9	0	2	3	0	0	0	1	1	6	7	S1	Butyrivibrio proteoclasticus B316
13	4	10	5	0	2	8	3	5	21	6	G	Anaerocolumna
4	0	4	0	0	0	4	2	2	12	1	S	Anaerocolumna sedimenticola
3	3	2	1	0	2	0	1	2	7	3	S	Anaerocolumna cellulosilytica
5	1	3	4	0	0	3	0	1	2	1	S	Anaerocolumna chitinilytica
26	1	0	5	4	1	5	6	2	12	13	G	Pseudobutyrivibrio
26	1	0	5	4	1	5	6	2	12	13	S	Pseudobutyrivibrio xylanivorans
29	3	5	5	0	0	2	2	3	10	4	G	Novisyntrophococcus
29	3	5	5	0	0	2	2	3	10	4	S	Novisyntrophococcus fermenticellae
4	0	2	1	5	1	3	3	3	7	2	G	Lachnoanaerobaculum
4	0	2	1	5	1	3	3	3	7	2	S	Lachnoanaerobaculum umeaense
0	1	2	0	1	0	2	1	3	3	2	G	Anaerotignum
0	1	2	0	1	0	2	1	3	3	2	S	Anaerotignum propionicum
0	1	2	0	1	0	2	1	3	3	2	S1	Anaerotignum propionicum DSM 1682
1	0	2	0	1	1	2	2	0	3	1	G	Cellulosilyticum
0	0	0	0	0	0	0	0	0	2	0	G1	unclassified Cellulosilyticum
0	0	0	0	0	0	0	0	0	2	0	S	Cellulosilyticum sp. WCF-2
0	0	0	0	0	1	0	1	0	0	0	S	Cellulosilyticum lentocellum
0	0	0	0	0	1	0	1	0	0	0	S1	Cellulosilyticum lentocellum DSM 5427
5	0	1	1	0	0	0	0	0	0	2	G	Herbinix
5	0	1	1	0	0	0	0	0	0	2	S	Herbinix luporum
4272	2289	223	1356	38	21	859	906	1313	1761	3300	F	Oscillospiraceae
3919	2202	54	640	7	17	653	766	212	1346	2080	G	Faecalibacterium
3852	2165	49	602	7	17	642	751	203	1217	2019	S	Faecalibacterium prausnitzii
409	1474	23	52	1	14	426	80	20	124	357	S1	Faecalibacterium prausnitzii L2-6
302	62	9	60	1	0	23	148	24	161	259	S1	Faecalibacterium prausnitzii SL3/3
104	2	3	7	0	1	1	5	804	101	679	G	Ruminococcus
79	1	2	1	0	0	0	1	766	46	659	S	Ruminococcus bicirculans
20	0	1	3	0	1	0	0	18	35	8	S	Ruminococcus bovis
2	1	0	2	0	0	1	4	7	9	5	S	Ruminococcus champanellensis
3	0	0	1	0	0	0	0	10	10	5	S	Ruminococcus albus
3	0	0	1	0	0	0	0	10	10	5	S1	Ruminococcus albus 7 = DSM 20455
106	37	114	87	4	0	152	31	27	48	56	G	Flavonifractor
106	37	114	87	4	0	152	31	27	48	56	S	Flavonifractor plautii
19	3	17	361	2	0	2	27	77	38	20	G	Ruthenibacterium
19	3	17	361	2	0	2	27	77	38	20	S	Ruthenibacterium lactatiformans
36	12	0	36	1	1	7	33	64	60	263	G	Vescimonas
22	5	0	28	0	1	1	27	43	25	235	S	Vescimonas coprocola
11	7	0	6	1	0	6	6	19	31	25	S	Vescimonas fastidiosa
13	4	10	154	3	0	8	13	38	32	76	G	Dysosmobacter
7	2	7	136	3	0	1	10	27	17	37	S	Dysosmobacter welbionis
5	2	3	18	0	0	7	2	10	15	33	G1	unclassified Dysosmobacter
5	2	3	18	0	0	7	2	10	15	33	S	Dysosmobacter sp. Marseille-Q4140
10	10	4	8	1	0	4	3	9	8	19	G	Pusillibacter
10	10	4	8	1	0	4	3	9	8	19	S	Pusillibacter faecalis
11	1	1	7	0	0	4	4	8	11	14	G	Oscillibacter
11	1	1	7	0	0	4	4	8	11	14	G1	unclassified Oscillibacter
11	1	1	7	0	0	4	4	8	11	14	S	Oscillibacter sp. NSJ-62
3	2	1	16	1	0	4	6	2	5	10	G	Anaerotruncus
3	2	1	16	1	0	4	6	2	5	10	S	Anaerotruncus colihominis
2	2	3	2	0	0	1	1	21	5	9	G	Monoglobus
2	2	3	2	0	0	1	1	21	5	9	S	Monoglobus pectinilyticus
1	0	3	7	0	0	2	1	5	15	7	G	Caproicibacterium
0	0	3	2	0	0	1	1	3	9	5	S	Caproicibacterium amylolyticum
1	0	0	5	0	0	1	0	2	6	1	S	Caproicibacterium lactatifermentans
4	3	0	3	0	0	1	0	1	15	3	G	Acutalibacter
4	3	0	3	0	0	1	0	1	15	3	S	Acutalibacter muris
2	1	1	5	0	1	1	5	2	6	3	G	Solibaculum
2	1	1	5	0	1	1	5	2	6	3	S	Solibaculum mannosilyticum
2	0	1	0	8	0	3	0	3	1	2	G	Acetivibrio
0	0	0	0	4	0	1	0	1	1	1	S	Acetivibrio thermocellus
1	0	0	0	4	0	0	0	1	0	0	S	Acetivibrio saccincola
1	0	1	0	0	0	2	0	1	0	1	S	Acetivibrio clariflavus
1	0	1	0	0	0	2	0	1	0	1	S1	Acetivibrio clariflavus DSM 19732
4	1	0	2	4	0	0	0	0	6	2	G	Mageeibacillus
4	1	0	2	4	0	0	0	0	6	2	S	Mageeibacillus indolicus
4	1	0	2	4	0	0	0	0	6	2	S1	Mageeibacillus indolicus UPII9-5
0	1	1	6	1	0	1	0	2	4	2	G	Caproiciproducens
0	1	1	6	1	0	1	0	2	4	2	G1	unclassified Caproiciproducens
0	1	1	6	1	0	1	0	2	4	2	S	Caproiciproducens sp. NJN-50
1	0	0	3	0	0	0	1	1	2	5	G	Ethanoligenens
1	0	0	3	0	0	0	1	1	2	5	S	Ethanoligenens harbinense
1	0	0	0	3	1	0	1	3	1	3	G	Ruminiclostridium
0	0	0	0	2	1	0	1	3	1	2	S	Ruminiclostridium herbifermentans
1	0	0	0	1	0	0	0	0	0	1	S	Ruminiclostridium cellulolyticum
1	0	0	0	1	0	0	0	0	0	1	S1	Ruminiclostridium cellulolyticum H10
0	3	1	1	0	0	1	0	3	1	1	G	Pseudoclostridium
0	3	1	1	0	0	1	0	3	1	1	S	Pseudoclostridium thermosuccinogenes
2	0	1	0	0	0	1	0	0	4	1	G	Caproicibacter
2	0	1	0	0	0	1	0	0	4	1	S	Caproicibacter fermentans
1	0	1	1	0	0	0	0	0	2	2	G	Thermoclostridium
