ERR2270938	ERR2270939	ERR2270940	ERR2270941	ERR2270960	ERR2270961	ERR2270962	ERR2271042	ERR2271043	ERR2271236	ERR2271237	lvl_type	name	taxonomy
8436	2140	5136	5240	5136	3525	3165	3292	6667	8777	6631	u	unclassified	d__unclassified;p__unclassified;c__unclassified;o__unclassified;f__unclassified;g__unclassified;s__unclassified
16564	22860	19864	19760	19864	21475	21835	21708	18333	16223	18369	r	root	na;na;na;na;na;na;na
16481	22831	19804	17255	19779	21174	21780	21495	17740	16159	18321	r1	cellular organisms	na;na;na;na;na;na;na
15598	22258	19258	16907	17834	20131	21109	21351	17616	15780	17712	d	Bacteria	d__Bacteria
14488	19224	17445	12259	14192	9635	19286	2404	3374	14711	5848	d1	Terrabacteria group	na;na;na;na;na;na;na
11871	8776	17259	4175	13303	9391	7295	1896	2745	9653	5417	p	Firmicutes	d__Bacteria;p__Firmicutes
10435	7991	8554	3091	2092	3105	5693	1716	2174	8654	5025	c	Clostridia	d__Bacteria;p__Firmicutes;c__Clostridia
10415	7984	8549	3082	2077	3090	5686	1714	2160	8634	5022	o	Eubacteriales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales
4985	5432	7931	1190	677	31	4335	670	506	6039	1367	f	Lachnospiraceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae
770	3725	4528	111	482	3	2422	109	77	461	75	g	Mediterraneibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter
653	3689	4490	92	478	3	2341	12	11	112	32	s	[Ruminococcus] gnavus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__[Ruminococcus] gnavus
77	479	489	11	65	1	271	2	3	10	3	s1	[Ruminococcus] gnavus ATCC 29149	na;na;na;na;na;na;na
117	35	35	18	4	0	75	97	66	347	42	s	[Ruminococcus] torques	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__[Ruminococcus] torques
117	35	35	18	4	0	75	97	66	347	42	s1	[Ruminococcus] torques L2-14	na;na;na;na;na;na;na
949	335	684	251	31	6	499	173	98	1982	211	g	Blautia	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia
189	44	30	74	5	0	92	52	22	978	59	s	Blautia massiliensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia massiliensis
320	136	11	57	2	3	20	40	33	359	38	s	Blautia obeum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia obeum
320	136	11	57	2	3	20	40	33	359	38	s1	Blautia obeum A2-162	na;na;na;na;na;na;na
170	53	35	61	3	1	216	39	15	337	45	g1	unclassified Blautia	na;na;na;na;na;na;na
140	44	6	57	3	0	15	36	14	313	37	s	Blautia sp. SC05B48	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia sp. SC05B48
30	9	29	4	0	1	201	3	1	24	8	s	Blautia sp. NBRC 113351	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia sp. NBRC 113351
30	16	422	6	3	0	31	3	5	36	8	s	Blautia pseudococcoides	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia pseudococcoides
46	23	105	7	7	2	24	7	7	42	7	s	Blautia producta	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia producta
1	0	0	0	0	0	0	0	0	0	0	s1	Blautia producta ATCC 27340 = DSM 2950	na;na;na;na;na;na;na
47	20	53	9	7	0	68	2	1	42	10	s	Blautia argi	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia argi
25	6	12	9	2	0	27	4	6	41	11	s	Blautia hansenii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii
25	6	12	9	2	0	27	4	6	41	11	s1	Blautia hansenii DSM 20583	na;na;na;na;na;na;na
16	3	3	1	0	0	3	4	2	14	5	s	Blautia liquoris	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia liquoris
265	419	1350	29	9	4	174	27	26	960	29	g	Anaerostipes	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes
255	416	20	27	3	2	19	24	23	948	23	s	Anaerostipes hadrus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus
9	1	1320	1	4	1	141	1	0	6	5	s	Anaerostipes caccae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae
1	0	230	1	3	0	59	0	0	0	2	s1	Anaerostipes caccae L1-92	na;na;na;na;na;na;na
0	2	9	1	2	1	13	2	3	5	1	s	Anaerostipes rhamnosivorans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes rhamnosivorans
609	401	14	209	10	2	45	30	18	1216	45	g	Anaerobutyricum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum
609	401	14	209	10	2	45	30	18	1216	45	s	Anaerobutyricum hallii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii
1549	61	45	116	3	3	65	85	72	221	290	g	Roseburia	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia
1238	28	6	72	1	3	23	36	39	118	157	s	Roseburia intestinalis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
252	12	2	18	0	2	0	6	10	41	38	s1	Roseburia intestinalis L1-82	na;na;na;na;na;na;na
190	9	0	13	0	0	3	12	10	24	38	s1	Roseburia intestinalis XB6B4	na;na;na;na;na;na;na
181	2	2	10	0	0	7	5	11	22	29	s1	Roseburia intestinalis M50/1	na;na;na;na;na;na;na
89	16	31	24	2	0	24	30	26	50	82	s	Roseburia hominis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis
121	11	5	11	0	0	11	11	5	39	31	g1	unclassified Roseburia	na;na;na;na;na;na;na
121	11	5	11	0	0	11	11	5	39	31	s	Roseburia sp. NSJ-69	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp. NSJ-69
200	98	40	218	7	0	92	88	41	450	119	g	Coprococcus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus
84	34	17	159	0	0	56	59	13	108	50	s	Coprococcus comes	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus comes
54	59	13	49	5	0	26	18	13	93	40	s	Coprococcus catus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus catus
22	2	9	3	0	0	8	8	10	214	16	g1	unclassified Coprococcus	na;na;na;na;na;na;na
22	2	9	3	0	0	8	8	10	214	16	s	Coprococcus sp. ART55/1	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp. ART55/1
30	2	0	4	2	0	1	3	3	26	8	s	Coprococcus eutactus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus
30	2	0	4	2	0	1	3	3	26	8	s1	Coprococcus eutactus ATCC 27759	na;na;na;na;na;na;na
29	16	204	20	40	0	424	17	10	57	37	g	Enterocloster	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster
21	11	85	15	23	0	202	11	7	40	23	s	Enterocloster bolteae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
7	5	115	5	15	0	218	5	3	12	11	s	Enterocloster clostridioformis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
97	92	143	55	14	1	212	22	28	63	48	g	Lachnoclostridium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium
44	66	75	14	11	0	134	11	10	24	20	s	[Clostridium] scindens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens
8	8	34	5	1	1	44	1	2	10	6	g1	unclassified Lachnoclostridium	na;na;na;na;na;na;na
8	8	34	5	1	1	44	1	2	10	6	s	Lachnoclostridium sp. YL32	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium sp. YL32
19	6	26	29	2	0	10	1	7	9	9	s	Lachnoclostridium phocaeense	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense
19	10	7	6	0	0	21	8	4	15	10	s	[Clostridium] hylemonae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] hylemonae
5	0	1	0	0	0	4	0	0	1	1	s1	[Clostridium] hylemonae DSM 15053	na;na;na;na;na;na;na
5	2	1	1	0	0	2	0	3	4	3	s	Lachnoclostridium phytofermentans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phytofermentans
5	2	1	1	0	0	2	0	3	4	3	s1	Lachnoclostridium phytofermentans ISDg	na;na;na;na;na;na;na
49	34	55	62	8	0	69	40	38	183	126	g	Dorea	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea
49	34	55	62	8	0	69	40	38	183	126	s	Dorea longicatena	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena
18	4	413	16	2	1	19	1	2	34	11	g	Sellimonas	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Sellimonas
18	4	413	16	2	1	19	1	2	34	11	s	Sellimonas intestinalis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Sellimonas;s__Sellimonas intestinalis
74	5	0	9	0	3	4	18	8	53	192	g	Lachnospira	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospira
74	5	0	9	0	3	4	18	8	53	192	s	Lachnospira eligens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens
0	0	0	0	0	0	0	5	0	0	0	s1	[Eubacterium] eligens ATCC 27750	na;na;na;na;na;na;na
40	69	20	16	2	1	48	6	17	42	25	g	Faecalicatena	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalicatena
40	69	20	16	2	1	48	6	17	42	25	g1	unclassified Faecalicatena	na;na;na;na;na;na;na
40	69	20	16	2	1	48	6	17	42	25	s	Faecalicatena sp. Marseille-Q4148	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena sp. Marseille-Q4148
16	4	94	1	5	0	12	3	3	23	11	g	Lacrimispora	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lacrimispora
8	1	46	0	1	0	6	1	1	10	4	s	Lacrimispora sphenoides	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lacrimispora;s__Lacrimispora sphenoides
8	1	46	0	1	0	6	1	1	10	4	s1	[Clostridium] sphenoides JCM 1415	na;na;na;na;na;na;na
7	3	34	1	4	0	5	1	2	12	7	s	Lacrimispora saccharolytica	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lacrimispora;s__Lacrimispora saccharolytica
39	4	7	8	6	1	4	5	5	21	25	g	Butyrivibrio	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio
