#Number of Samples: 11
#Total Number of Reads: 76094283
#S1	../../reports/kraken2/ERR2270938.report
#S2	../../reports/kraken2/ERR2270939.report
#S3	../../reports/kraken2/ERR2270940.report
#S4	../../reports/kraken2/ERR2270941.report
#S5	../../reports/kraken2/ERR2270960.report
#S6	../../reports/kraken2/ERR2270961.report
#S7	../../reports/kraken2/ERR2270962.report
#S8	../../reports/kraken2/ERR2271042.report
#S9	../../reports/kraken2/ERR2271043.report
#S10	../../reports/kraken2/ERR2271236.report
#S11	../../reports/kraken2/ERR2271237.report
#perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	lvl_type	taxid	name
21.8862	16654169	16654169	2303618	2303618	633441	633441	1837398	1837398	1358319	1358319	1259259	1259259	838281	838281	730903	730903	1341086	1341086	2186792	2186792	1398407	1398407	2766665	2766665	U	0	unclassified
78.1138	59440114	27081	4079167	2292	6531482	811	6526493	1971	4667667	3811	4676312	2181	4912308	5366	4813054	906	8028103	3207	5697705	2083	2471665	1292	7036158	3161	R	1	root
76.9615	58563284	71433	4059567	7222	6526856	4433	6519131	6882	4093789	1729	4669717	17850	4897244	17319	4806134	3873	7966483	1497	5539181	3544	2462345	4410	7022837	2674	R1	131567	  cellular organisms
74.9109	57002918	240017	3925397	31644	6429171	9619	6417074	18340	4061267	23199	4220673	15065	4653795	12185	4698601	10803	7911828	19952	5492656	32181	2399698	23746	6792758	43283	D	2	    Bacteria
44.6855	34003075	55337	3644949	7114	5570764	6120	5801792	6174	2958332	3948	3309447	2088	2181043	2624	4295285	2765	843447	3306	962810	7066	2226960	6816	2208246	7316	D1	1783272	      Terrabacteria group
31.3186	23831686	191754	2948227	31166	2493198	18183	5736739	27765	980145	7643	3088871	18739	2125018	12063	1596397	14204	636424	6711	762621	14798	1426170	17175	2037876	23307	P	1239	        Firmicutes
19.9000	15142772	4382	2578165	797	2270410	176	2857214	216	722811	206	463698	367	653598	555	1223414	219	582368	141	615176	762	1274329	445	1901589	498	C	186801	          Clostridia
19.8608	15112902	259587	2574078	54319	2269403	30746	2855327	25833	721550	13443	460639	7619	650380	8224	1221407	20324	581426	10580	609273	16013	1271765	26900	1897654	45586	O	186802	            Eubacteriales
11.1879	8513358	382338	1212992	54648	1538938	46816	2652616	108028	267437	13482	156609	9376	7705	498	921211	50112	223101	15125	139840	9497	903426	37135	489483	37621	F	186803	              Lachnospiraceae
4.7242	3594858	3316	190176	326	1071665	187	1513447	924	24702	173	114339	63	1071	1	514799	610	39763	122	26487	102	70859	508	27550	300	G	2316020	                Mediterraneibacter
4.4743	3404686	2950526	165365	145971	1063252	904392	1503210	1317817	20455	17499	113600	97551	930	845	499451	435144	5654	3975	3055	2114	16754	14234	12960	10984	S	33038	                  [Ruminococcus] gnavus
0.5968	454160	454160	19394	19394	158860	158860	185393	185393	2956	2956	16049	16049	85	85	64307	64307	1679	1679	941	941	2520	2520	1976	1976	S1	411470	                    [Ruminococcus] gnavus ATCC 29149
0.2456	186856	0	24485	0	8226	0	9313	0	4074	0	676	0	140	0	14738	0	33987	0	23330	0	53597	0	14290	0	S	33039	                  [Ruminococcus] torques
0.2456	186856	186856	24485	24485	8226	8226	9313	9313	4074	4074	676	676	140	140	14738	14738	33987	33987	23330	23330	53597	53597	14290	14290	S1	657313	                    [Ruminococcus] torques L2-14
1.5107	1149524	109366	215479	30012	91970	11395	237117	6480	56902	8532	6493	238	1486	32	104235	3927	51879	8761	27541	2691	288299	27254	68123	10044	G	572511	                Blautia
0.3782	287807	287807	43115	43115	11564	11564	9501	9501	15612	15612	810	810	45	45	23051	23051	15779	15779	6530	6530	143064	143064	18736	18736	S	1737424	                  Blautia massiliensis
0.2752	209390	0	73231	0	33991	0	4129	0	12337	0	697	0	563	0	5318	0	9550	0	8861	0	47352	0	13361	0	S	40520	                  Blautia obeum
0.2752	209390	209390	73231	73231	33991	33991	4129	4129	12337	12337	697	697	563	563	5318	5318	9550	9550	8861	8861	47352	47352	13361	13361	S1	657314	                    Blautia obeum A2-162
0.2664	202699	120	36168	26	15652	5	15637	14	11944	2	621	1	235	0	43684	23	11511	9	3936	1	49564	26	13747	13	G1	2648079	                  unclassified Blautia
0.1767	134460	134460	31842	31842	12451	12451	2916	2916	11073	11073	269	269	163	163	3536	3536	10605	10605	3259	3259	46378	46378	11968	11968	S	2479767	                    Blautia sp. SC05B48
0.0895	68119	68119	4300	4300	3196	3196	12707	12707	869	869	351	351	72	72	40125	40125	897	897	676	676	3160	3160	1766	1766	S	2877527	                    Blautia sp. NBRC 113351
0.2227	169491	169491	6044	6044	3024	3024	145545	145545	1296	1296	329	329	19	19	4687	4687	1228	1228	959	959	4279	4279	2081	2081	S	1796616	                  Blautia pseudococcoides
0.0974	74093	73095	10678	10435	6013	5778	35153	35015	1849	1810	1959	1955	46	46	6206	6165	1761	1706	1536	1516	5235	5039	3657	3630	S	33035	                  Blautia producta
0.0013	998	998	243	243	235	235	138	138	39	39	4	4	0	0	41	41	55	55	20	20	196	196	27	27	S1	1121114	                    Blautia producta ATCC 27340 = DSM 2950
0.0714	54302	54302	7700	7700	6205	6205	15078	15078	1744	1744	1357	1357	161	161	11960	11960	1375	1375	1225	1225	4993	4993	2504	2504	S	1912897	                  Blautia argi
0.0413	31408	0	5401	0	3468	0	4709	0	2951	0	330	0	301	0	4689	0	1231	0	995	0	4651	0	2682	0	S	1322	                  Blautia hansenii
0.0413	31408	31408	5401	5401	3468	3468	4709	4709	2951	2951	330	330	301	301	4689	4689	1231	1231	995	995	4651	4651	2682	2682	S1	537007	                    Blautia hansenii DSM 20583
0.0144	10968	10968	3130	3130	658	658	885	885	637	637	152	152	84	84	713	713	683	683	808	808	1907	1907	1311	1311	S	2779518	                  Blautia liquoris
1.1234	854845	1852	65222	352	111444	108	450936	405	5809	57	1579	7	908	2	46445	397	9101	74	5958	45	141439	138	16004	267	G	207244	                Anaerostipes
0.6372	484883	374545	1492	1302	1041	821	440872	345298	636	512	899	86	20	17	36197	24294	569	456	831	379	881	696	1445	684	S	105841	                  Anaerostipes caccae
0.1450	110338	110338	190	190	220	220	95574	95574	124	124	813	813	3	3	11903	11903	113	113	452	452	185	185	761	761	S1	411490	                    Anaerostipes caccae L1-92
0.4676	355839	355839	62302	62302	109745	109745	5771	5771	4883	4883	585	585	874	874	5386	5386	8193	8193	4701	4701	139775	139775	13624	13624	S	649756	                  Anaerostipes hadrus
0.0161	12271	12271	1076	1076	550	550	3888	3888	233	233	88	88	12	12	4465	4465	265	265	381	381	645	645	668	668	S	1229621	                  Anaerostipes rhamnosivorans
0.8386	638157	47754	385578	26560	16505	1227	16727	803	24410	2093	1225	71	359	35	10976	1199	28077	2724	18552	1332	34548	3140	101200	8570	G	841	                Roseburia
0.5769	439016	189847	311152	149687	8261	1795	3744	952	15688	6197	514	189	293	57	4509	1991	12823	4429	8559	2422	18401	5149	55072	16979	S	166486	                  Roseburia intestinalis
0.1199	91200	91200	58252	58252	3795	3795	1184	1184	3042	3042	149	149	85	85	1066	1066	3029	3029	2836	2836	5226	5226	12536	12536	S1	536231	                    Roseburia intestinalis L1-82
0.1044	79412	79412	50393	50393	1494	1494	397	397	3792	3792	43	43	137	137	655	655	2866	2866	1273	1273	4133	4133	14229	14229	S1	718255	                    Roseburia intestinalis XB6B4
