lvl_type	name	taxonomy
u	unclassified	d__unclassified;p__unclassified;c__unclassified;o__unclassified;f__unclassified;g__unclassified;s__unclassified
r	root	na;na;na;na;na;na;na
r1	cellular organisms	na;na;na;na;na;na;na
d	Bacteria	d__Bacteria
d1	Terrabacteria group	na;na;na;na;na;na;na
p	Firmicutes	d__Bacteria;p__Firmicutes
c	Clostridia	d__Bacteria;p__Firmicutes;c__Clostridia
o	Eubacteriales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales
f	Lachnospiraceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae
g	Mediterraneibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter
s	[Ruminococcus] gnavus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__[Ruminococcus] gnavus
s1	[Ruminococcus] gnavus ATCC 29149	na;na;na;na;na;na;na
s	[Ruminococcus] torques	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__[Ruminococcus] torques
s1	[Ruminococcus] torques L2-14	na;na;na;na;na;na;na
g	Blautia	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia
s	Blautia massiliensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia massiliensis
s	Blautia obeum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia obeum
s1	Blautia obeum A2-162	na;na;na;na;na;na;na
g1	unclassified Blautia	na;na;na;na;na;na;na
s	Blautia sp. SC05B48	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia sp. SC05B48
s	Blautia sp. NBRC 113351	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia sp. NBRC 113351
s	Blautia pseudococcoides	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia pseudococcoides
s	Blautia producta	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia producta
s1	Blautia producta ATCC 27340 = DSM 2950	na;na;na;na;na;na;na
s	Blautia argi	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia argi
s	Blautia hansenii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii
s1	Blautia hansenii DSM 20583	na;na;na;na;na;na;na
s	Blautia liquoris	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia liquoris
g	Anaerostipes	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes
s	Anaerostipes hadrus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus
s	Anaerostipes caccae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae
s1	Anaerostipes caccae L1-92	na;na;na;na;na;na;na
s	Anaerostipes rhamnosivorans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes rhamnosivorans
g	Anaerobutyricum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum
s	Anaerobutyricum hallii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii
g	Roseburia	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia
s	Roseburia intestinalis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
s1	Roseburia intestinalis L1-82	na;na;na;na;na;na;na
s1	Roseburia intestinalis XB6B4	na;na;na;na;na;na;na
s1	Roseburia intestinalis M50/1	na;na;na;na;na;na;na
s	Roseburia hominis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis
g1	unclassified Roseburia	na;na;na;na;na;na;na
s	Roseburia sp. NSJ-69	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp. NSJ-69
g	Coprococcus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus
s	Coprococcus comes	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus comes
s	Coprococcus catus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus catus
g1	unclassified Coprococcus	na;na;na;na;na;na;na
s	Coprococcus sp. ART55/1	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp. ART55/1
s	Coprococcus eutactus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus
s1	Coprococcus eutactus ATCC 27759	na;na;na;na;na;na;na
g	Enterocloster	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster
s	Enterocloster bolteae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
s	Enterocloster clostridioformis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
g	Lachnoclostridium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium
s	[Clostridium] scindens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens
g1	unclassified Lachnoclostridium	na;na;na;na;na;na;na
s	Lachnoclostridium sp. YL32	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium sp. YL32
s	Lachnoclostridium phocaeense	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense
